11,4,20,1,1,0,167
1,0,0,1,0,0,2
2,1,0,1,0,1,2
2,0,0,1,0,0,1
3,1,0,1,1,0,8
1,0,0,0,1,0,1
4,0,0,1,0,0,4
3,0,0,1,0,0,2
2,0,0,1,0,0,2
1,0,0,1,0,0,2
1,0,0,0,0,0,1
1,1,0,1,3,0,10
2,1,0,0,0,0,1
1,0,0,1,1,0,2
1,1,0,1,0,1,1
4,0,0,1,2,0,2
1,1,0,0,0,0,4
1,0,0,1,0,0,2
1,0,0,1,0,0,4
5,1,0,1,0,1,4
0,0,0,1,0,0,1
3,1,0,1,0,1,6
2,0,0,1,0,0,2
3,0,0,1,1,1,7
1,1,0,0,0,0,3
0,1,0,0,0,0,6
2,0,1,0,0,0,3
1,0,0,1,0,0,4
1,0,0,0,0,0,2
6,1,0,1,1,0,10
1,2,0,0,0,0,1
0,1,0,0,0,0,2
1,0,0,1,1,0,6
1,0,0,0,0,0,1
7,0,0,1,1,0,2
1,1,0,0,0,0,2
4,1,0,2,0,0,1
4,0,0,0,0,0,1
1,0,0,2,0,0,2
1,0,0,2,4,0,6
1,0,0,0,0,0,1
1,0,0,0,0,0,1
5,0,0,1,0,1,2
4,1,0,2,0,0,4
3,0,0,0,0,0,6
3,0,0,1,1,0,8
3,1,0,0,0,0,1
2,1,0,0,0,0,4
3,1,0,1,0,1,2
2,1,0,1,0,0,6
4,0,1,1,0,0,2
3,0,0,0,0,0,1
1,0,0,1,0,0,2
1,0,0,1,0,0,4
1,0,0,1,0,0,10
1,0,0,0,0,0,6
1,0,0,1,1,0,6
1,0,0,0,0,1,3
2,1,0,2,0,0,3
0,1,0,0,0,0,6
2,1,0,2,0,0,10
1,0,0,1,0,0,6
3,0,0,0,0,0,3
1,0,0,1,0,0,2
2,0,0,0,0,0,1
0,0,0,1,1,0,2
2,0,0,1,0,1,4
3,1,0,2,0,0,1
2,1,0,0,0,0,4
3,0,0,1,0,0,4
1,0,0,1,3,0,3
1,0,0,0,2,0,4
4,1,0,1,2,0,6
3,1,0,0,0,0,12
4,0,0,1,2,3,8
3,0,0,1,0,0,4
3,1,0,1,0,0,8
8,1,0,0,0,0,10
2,0,0,1,1,0,4
0,0,0,1,0,1,2
0,0,0,0,0,0,4
1,1,0,0,0,0,4
1,0,0,1,0,0,6
2,0,0,1,0,0,5
1,0,0,1,0,0,4
1,0,0,1,0,0,8
3,0,0,0,1,0,16
3,1,0,3,0,0,8
1,0,0,1,0,0,3
2,0,0,0,0,0,6
3,0,0,1,1,0,2
1,0,0,1,2,1,6
0,1,0,1,0,0,1
3,1,0,1,0,0,2
1,0,0,1,1,0,6
0,0,0,0,0,0,5
6,0,0,1,3,0,6
1,0,1,0,0,0,2
3,1,0,2,0,1,1
2,0,0,0,0,0,1
3,0,0,0,0,0,1
3,1,0,2,0,0,4
0,0,0,0,0,0,1
2,0,0,1,0,0,5
8,0,0,1,2,3,14
4,0,0,1,1,0,2
3,0,0,1,1,0,2
1,0,0,1,0,0,4
3,0,0,0,0,0,2
3,1,0,0,0,0,6
1,0,0,0,0,0,2
2,0,0,1,0,0,3
1,1,0,0,0,0,8
2,0,0,0,0,0,6
2,0,1,0,0,0,5
2,0,0,2,0,1,2
1,1,0,1,1,0,10
1,0,0,1,1,0,3
2,0,0,1,0,0,1
2,0,1,1,0,0,3
2,1,0,1,0,0,1
2,0,0,1,0,0,2
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,1,0,0,1,0,4
0,0,0,1,2,1,2
2,1,0,1,0,0,6
4,1,0,1,0,0,10
4,0,0,0,0,0,2
2,0,0,0,0,0,4
2,0,0,1,0,0,2
1,1,0,0,0,0,12
0,1,0,0,1,0,3
2,1,0,0,0,0,2
1,0,0,0,0,0,2
0,0,0,1,0,0,1
4,0,0,0,0,0,4
1,0,0,0,0,0,6
0,0,0,1,1,0,6
2,1,0,1,0,0,3
6,1,1,1,0,0,5
0,1,0,0,0,0,4
0,0,0,0,0,0,1
4,1,0,1,0,0,4
1,1,2,1,1,0,6
1,0,0,1,0,0,6
1,0,0,0,0,0,2
3,0,0,0,1,1,12
1,0,0,0,0,0,2
1,0,0,1,0,0,1
0,1,0,0,0,0,2
5,0,0,1,2,1,4
2,0,0,0,0,0,10
3,0,0,1,1,1,9
2,1,0,1,0,1,4
1,0,0,1,0,0,4
1,0,0,0,0,0,1
2,1,0,0,0,0,2
2,0,0,0,1,0,4
3,1,0,0,0,0,2
1,0,0,1,0,0,2
2,0,0,0,0,1,2
2,0,1,1,1,0,8
0,1,0,1,0,0,8
2,0,0,1,4,0,4
2,0,0,1,1,0,4
3,0,0,1,0,3,4
1,0,0,2,0,0,1
2,0,0,1,0,0,2
2,0,0,1,0,0,2
5,0,0,1,0,0,2
1,0,0,1,0,0,4
1,0,0,1,1,0,4
1,1,0,0,0,0,0
1,0,0,0,1,0,2
1,0,0,1,1,0,2
5,0,0,1,0,0,3
2,1,2,1,2,0,7
1,1,1,0,0,0,6
3,1,0,1,0,0,2
2,0,0,1,0,0,4
3,1,1,1,2,0,4
4,0,0,1,0,0,1
0,0,0,1,0,0,4
3,0,0,0,1,0,7
1,0,0,0,0,0,1
2,1,0,1,0,0,6
1,0,0,0,0,0,4
1,1,0,1,0,1,1
2,0,1,0,1,0,18
2,0,0,1,0,1,4
1,0,0,1,0,0,2
3,0,0,1,1,0,4
1,1,0,0,0,0,14
3,0,0,1,0,0,2
2,0,0,1,0,0,3
2,1,0,1,1,0,5
1,0,0,1,1,0,4
3,0,0,0,0,0,4
2,0,0,1,0,0,4
2,0,0,1,0,0,2
2,0,0,1,2,2,2
1,1,0,2,0,1,4
2,0,0,0,0,0,2
1,0,0,0,0,0,1
1,1,1,0,0,0,8
0,1,0,1,0,0,8
3,0,0,0,0,0,6
3,1,0,1,0,2,10
1,0,0,1,0,0,3
3,0,0,1,1,2,3
5,0,2,1,0,0,6
5,0,0,1,0,1,4
3,0,0,1,0,0,4
2,0,0,1,1,0,4
2,1,0,0,0,0,10
0,1,0,0,0,0,4
1,0,0,1,0,0,2
2,1,0,0,0,0,2
3,0,0,1,0,0,2
2,0,0,0,0,0,2
1,0,0,0,0,0,2
2,0,0,1,0,0,2
0,0,0,1,1,0,2
4,1,0,1,0,0,2
4,0,0,0,0,0,2
1,1,0,0,0,0,2
1,0,0,0,0,0,8
1,0,0,0,0,0,1
1,1,0,0,1,0,6
2,0,0,0,0,0,4
1,1,0,2,0,2,4
1,0,0,1,1,0,2
2,0,0,0,0,0,1
6,0,0,1,1,0,6
6,2,0,2,0,0,18
1,0,0,0,0,0,1
3,0,0,0,0,0,1
1,1,0,1,1,0,21
2,0,0,0,0,0,2
3,0,0,0,0,0,1
1,0,0,1,1,0,3
1,1,0,0,0,0,1
2,0,0,1,1,0,5
3,1,0,0,0,0,4
2,0,0,1,1,0,4
1,1,0,0,0,0,4
1,0,0,2,0,0,12
1,0,0,1,0,0,1
1,0,0,1,0,0,4
4,0,0,1,0,0,1
3,1,0,1,0,0,1
3,0,0,0,0,0,1
2,0,0,1,2,0,2
1,0,0,0,0,0,4
1,0,0,1,0,0,1
6,0,0,1,3,2,3
0,0,0,0,3,0,2
1,1,0,1,1,0,2
2,0,0,1,0,0,4
1,0,0,1,0,0,2
1,1,0,1,0,1,8
2,0,0,0,0,0,2
1,1,0,0,0,0,2
1,0,0,0,0,0,3
0,0,0,1,0,0,8
1,0,0,1,0,0,2
1,1,0,1,2,0,3
4,1,0,0,0,0,1
3,0,0,1,3,2,14
1,0,0,0,0,0,6
1,0,0,1,0,0,2
1,0,0,1,0,0,6
2,0,0,1,1,0,4
1,0,0,1,0,0,8
3,0,0,0,3,0,5
2,0,0,0,0,0,3
1,0,0,1,0,0,4
2,0,0,0,0,0,4
1,0,0,1,0,0,3
1,1,0,0,1,0,5
1,0,0,2,0,0,5
1,0,0,0,0,0,2
0,2,0,0,1,0,1
0,0,0,1,0,0,4
1,0,0,1,0,0,3
1,1,0,1,1,0,12
2,1,0,2,0,0,4
1,0,0,1,1,0,9
5,0,0,1,0,0,8
0,0,0,1,0,0,3
3,0,0,0,0,0,4
1,0,0,1,0,1,4
3,0,0,0,2,0,6
0,0,0,0,0,0,7
0,1,0,0,0,0,6
1,0,0,0,0,0,3
3,1,0,1,0,0,8
1,1,0,1,1,0,10
3,0,0,1,0,0,4
0,0,0,0,1,0,13
1,1,1,0,0,0,7
0,0,0,0,0,0,8
3,1,0,1,2,0,5
4,0,0,0,0,0,4
0,1,0,1,0,0,2
0,0,0,1,0,0,1
2,1,0,2,0,0,10
1,0,0,0,0,0,2
1,0,0,0,0,0,3
2,0,0,1,0,0,4
2,1,0,1,0,0,5
1,0,0,0,0,0,4
1,0,0,0,0,0,4
2,1,0,1,0,0,3
1,2,0,0,0,0,18
0,1,0,0,0,0,4
1,0,0,1,0,0,7
1,0,0,1,1,1,8
3,1,0,0,0,0,14
3,2,0,1,0,0,3
0,0,0,0,0,0,2
1,1,0,2,1,0,12
4,0,0,0,1,0,6
0,0,0,0,0,0,3
2,1,1,1,0,0,3
0,1,0,0,0,0,5
2,0,0,1,0,0,4
1,1,0,1,0,0,3
0,0,0,2,1,0,5
2,1,0,0,0,0,4
2,0,0,1,0,0,2
1,0,0,1,0,0,3
1,0,0,0,0,0,1
0,0,0,1,0,0,2
1,0,0,0,0,0,6
0,1,0,1,0,0,2
2,0,0,2,1,0,10
3,1,0,0,0,0,6
1,0,0,0,0,0,6
4,2,0,1,0,0,10
0,0,0,0,0,0,2
0,0,0,0,0,0,2
0,0,0,0,0,0,1
0,1,0,0,0,0,1
0,0,0,1,0,0,3
3,0,0,1,1,0,4
1,0,0,0,0,0,3
4,1,0,0,0,0,6
0,1,0,0,0,0,2
0,1,0,0,0,0,3
0,0,0,0,0,0,1
1,0,0,1,1,0,5
0,0,0,1,1,0,2
0,0,0,1,0,0,1
0,0,0,0,0,0,2
3,0,0,0,0,0,6
0,0,0,1,1,0,2
0,0,0,1,1,0,2
0,0,0,1,0,0,1
0,1,0,1,0,0,2
0,0,0,1,1,0,2
0,0,0,1,0,0,1
3,0,0,0,0,0,2
1,0,0,1,1,0,3
0,0,0,0,0,0,3
0,8,0,1,0,1,3
1,0,0,1,0,0,3
0,0,0,1,1,0,2
0,0,0,1,0,0,1
0,0,0,1,0,0,2
0,0,0,1,0,0,1
0,0,0,1,1,0,3
1,0,0,1,0,0,3
2,0,0,0,0,0,3
0,0,0,1,0,1,3
0,0,0,0,1,0,3
3,0,0,0,0,0,4
0,0,0,1,0,2,1
2,0,0,1,0,0,7
2,1,0,0,0,0,4
2,1,0,1,1,0,3
2,0,0,0,0,0,2
2,2,0,0,0,0,3
2,0,0,1,0,0,5
0,1,0,0,0,0,1
1,0,0,1,1,1,5
2,0,0,1,0,0,3
0,0,0,0,0,0,1
1,0,0,1,0,0,3
0,1,0,1,0,0,1
0,0,0,1,0,0,3
1,0,0,1,1,1,3
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,2
0,0,0,1,1,0,2
1,0,0,1,0,1,2
2,0,0,1,1,2,4
1,0,0,2,0,1,6
0,1,0,0,0,0,1
0,0,0,0,1,0,8
3,0,0,1,1,0,3
1,0,0,1,0,0,6
1,0,0,0,0,0,4
1,0,0,1,0,0,8
1,0,0,1,0,0,2
1,0,0,0,0,0,2
0,0,0,1,0,0,4
2,0,0,1,3,1,4
5,0,0,1,0,0,2
1,0,0,0,0,0,8
3,0,0,1,0,0,1
3,0,0,1,1,0,4
1,0,0,0,0,0,1
1,0,0,1,0,0,0
4,0,0,1,0,0,1
1,1,0,1,0,0,4
1,0,0,0,0,0,2
0,0,0,1,0,0,3
1,0,0,1,2,0,2
1,0,0,1,1,1,4
2,0,0,1,0,0,2
2,0,0,1,0,0,4
1,0,0,1,0,0,2
1,0,0,1,1,0,3
1,0,0,0,0,0,2
1,0,0,1,1,0,4
0,0,0,0,0,0,1
2,0,0,1,0,0,4
0,0,0,1,2,1,6
2,0,0,0,0,0,2
2,1,0,0,0,0,2
2,0,0,1,0,0,2
1,1,0,1,0,0,2
2,0,0,0,0,0,2
2,1,0,2,0,1,1
3,1,0,1,0,0,4
2,0,0,1,0,0,2
0,0,0,0,0,0,1
0,0,0,1,0,0,6
0,0,0,1,0,0,8
1,0,0,1,0,0,2
3,0,0,0,0,0,1
3,0,0,1,0,0,2
2,0,0,1,0,0,6
4,0,0,2,0,0,2
3,0,0,0,0,0,3
0,0,0,0,0,0,1
4,0,0,1,0,0,2
0,0,0,0,0,0,3
3,1,0,1,0,0,4
1,0,0,0,0,0,2
1,1,0,0,0,0,6
1,0,0,1,0,0,4
3,1,0,1,1,0,3
2,0,0,1,0,0,2
3,0,0,1,0,0,4
3,0,0,0,0,0,1
1,0,0,0,0,0,1
0,1,0,3,0,0,2
4,0,0,1,0,0,3
2,0,0,1,0,1,4
1,0,0,0,1,0,5
0,0,0,0,0,0,2
0,1,0,1,0,0,6
0,1,0,0,0,0,3
1,1,0,1,0,0,5
2,0,0,0,0,0,5
0,0,0,0,0,0,4
0,1,0,0,0,0,3
0,0,0,0,0,0,6
0,0,0,0,0,0,1
1,2,0,1,0,0,2
3,1,0,1,0,0,4
0,0,0,1,0,0,7
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,1
1,0,0,1,0,1,3
0,0,0,1,0,0,4
1,0,0,1,0,0,5
1,1,0,1,0,0,4
0,1,0,0,0,0,1
0,1,0,0,0,0,2
0,0,0,0,0,0,3
0,0,0,1,0,0,3
4,0,1,1,0,0,6
0,0,0,0,0,0,2
1,1,0,1,0,0,6
1,1,0,0,0,0,5
3,0,0,1,1,0,6
0,0,0,0,0,0,1
0,1,0,1,0,1,2
1,0,0,0,0,0,4
1,1,0,0,0,0,1
2,0,0,1,0,0,2
0,0,0,1,0,0,4
2,0,0,1,0,0,4
0,2,0,0,0,0,4
1,1,0,1,0,0,6
0,1,0,1,0,0,2
1,0,1,0,0,0,2
0,3,0,0,0,0,4
1,0,0,0,0,0,1
1,0,0,1,0,1,4
4,1,0,1,0,0,6
1,1,0,1,1,0,4
3,0,0,0,0,0,1
1,0,0,0,0,0,2
2,0,0,1,0,0,6
2,0,0,1,0,0,2
2,0,0,1,0,0,4
1,0,0,0,2,0,9
1,1,0,0,0,0,1
1,0,0,0,0,1,2
5,0,0,2,1,0,3
0,0,0,1,0,0,2
0,2,0,0,0,0,6
0,0,0,0,0,0,3
0,0,0,1,3,0,3
1,0,0,1,0,0,2
1,0,0,1,3,0,5
2,0,0,1,1,0,3
2,0,0,1,0,0,2
1,0,0,0,0,0,1
3,0,0,1,0,0,4
2,0,0,1,0,0,4
1,0,0,1,0,0,4
2,0,0,1,2,0,4
1,1,0,1,0,0,6
1,0,0,1,0,0,2
0,0,0,0,0,0,2
0,1,0,1,0,0,2
0,0,0,0,0,0,0
3,0,0,1,1,0,6
0,0,0,0,0,0,1
3,0,0,0,0,0,1
0,0,0,1,1,0,3
2,0,0,1,0,0,1
2,0,0,0,1,0,10
1,0,0,1,0,0,2
1,0,0,0,0,0,2
1,0,0,0,0,0,1
2,0,0,0,0,0,1
2,0,0,0,0,0,2
2,1,0,1,0,0,4
1,0,0,0,0,0,1
1,0,0,1,4,0,4
3,0,0,0,0,0,2
0,0,0,0,0,0,1
2,1,0,2,0,1,2
2,0,0,1,0,0,1
1,0,0,1,1,0,4
4,0,0,1,0,1,2
2,1,0,0,0,0,1
2,0,0,1,1,0,2
3,1,0,1,0,0,2
1,0,0,0,0,0,6
0,1,0,1,0,0,2
0,0,0,1,0,0,2
2,0,0,1,2,0,3
0,1,0,0,0,0,2
1,0,0,1,0,0,8
1,0,0,1,0,0,1
0,0,0,1,0,0,6
1,0,0,1,1,0,4
2,0,0,1,6,1,4
1,1,0,2,0,0,6
3,1,0,2,0,0,1
1,0,0,1,0,0,3
0,0,0,3,0,0,1
1,0,0,1,0,0,2
0,0,0,0,0,0,1
2,1,0,2,1,0,4
3,0,0,1,0,0,8
3,0,0,1,0,0,2
0,0,0,0,0,0,4
0,0,0,0,0,0,1
2,0,0,1,0,0,6
0,1,0,0,0,0,1
4,0,0,1,0,0,3
1,1,0,0,0,0,1
2,1,0,1,0,1,2
1,0,0,0,0,0,1
0,0,0,0,0,0,1
1,0,0,0,0,0,1
2,0,0,1,1,0,4
2,0,0,0,0,0,2
6,0,0,1,0,0,1
1,1,0,1,0,0,2
0,0,0,1,0,0,3
3,1,0,1,0,0,1
3,0,0,1,1,0,2
3,0,0,1,0,0,1
1,0,0,1,1,0,1
3,1,0,1,0,1,4
1,0,0,1,0,0,2
3,0,0,1,0,0,2
4,0,0,1,0,0,1
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,2
2,1,0,1,0,0,1
0,0,0,0,0,0,1
2,2,0,1,0,0,7
5,0,0,1,0,0,2
2,0,0,1,1,0,2
1,0,0,1,0,0,4
2,0,0,1,0,0,2
1,2,0,1,0,0,1
1,0,0,1,0,0,3
2,0,0,0,0,0,1
1,0,0,0,0,0,4
3,1,0,1,0,0,1
2,3,0,1,0,0,2
0,0,1,1,1,0,6
3,1,0,0,0,0,3
2,0,0,1,0,0,3
0,0,0,0,0,0,2
3,1,0,1,0,0,2
1,0,0,1,0,0,8
2,0,0,0,0,0,1
0,0,0,0,0,0,4
1,2,0,0,0,0,1
2,0,0,0,0,0,1
1,0,0,1,0,0,4
2,0,0,1,0,0,1
0,0,0,1,0,0,1
0,1,0,0,0,0,1
0,0,0,0,0,0,0
0,1,0,0,0,0,4
1,0,0,1,0,3,3
2,0,0,1,0,0,1
1,0,0,0,0,0,1
1,0,0,1,0,0,2
0,1,0,1,0,0,4
1,0,0,1,0,0,2
0,0,0,1,0,0,2
1,0,0,0,1,0,2
8,1,0,3,0,0,2
1,1,0,0,2,0,4
4,1,0,0,0,0,5
0,0,0,2,0,0,1
0,0,0,2,0,0,1
0,0,0,1,0,1,2
4,0,0,2,1,0,10
0,0,0,0,0,0,2
2,1,0,0,1,0,2
0,0,0,0,1,0,8
0,0,0,0,0,0,2
2,0,0,0,0,0,6
1,0,0,0,0,0,0
1,0,0,1,0,0,2
1,1,0,0,1,0,5
0,0,0,0,1,0,5
0,0,0,0,0,0,1
0,0,0,0,0,0,7
1,1,0,1,1,0,4
2,1,0,2,0,0,2
2,0,0,0,0,0,1
2,0,0,1,1,1,2
2,1,0,1,1,0,3
3,0,0,0,0,0,2
0,0,0,0,0,0,1
1,1,0,0,0,0,4
2,1,0,3,0,0,3
1,1,0,1,0,1,1
2,1,0,1,0,1,2
1,0,0,1,0,0,2
1,0,0,1,0,0,1
3,0,0,0,0,0,2
2,1,0,1,0,1,2
5,1,0,3,0,0,2
2,1,0,1,0,0,4
1,0,0,1,2,0,4
0,1,0,1,0,0,3
2,0,0,1,0,0,1
1,0,0,1,0,0,2
1,0,0,1,0,0,3
2,0,0,0,0,0,2
5,1,0,1,0,2,6
2,1,0,2,0,0,2
0,1,0,0,0,0,1
1,0,0,0,0,0,0
1,2,0,1,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
4,0,0,0,0,0,2
1,0,0,2,0,0,1
3,1,0,1,0,1,2
1,0,0,1,1,0,10
4,1,0,1,2,0,2
