"Абаканович, Бруно",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Абрамов, Александр Александрович (математик)",1,6,0,0,1926,2014,11402,8,22,0,1497,0,0,9,8,3,,,,,,,136,619,9,Абрамов Александр Александрович,88,472,12338,,,,да
"Абрамов, Александр Михайлович",,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Абрамов, Сергей Михайлович (учёный)",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Абрашкин, Виктор Александрович",1,1,0,0,,2016,3670,3,4,0,282,0,2,1,9,4,,,,,,,35,81,4,Абрашкин Виктор Александрович,35,52,2587,,,,да
"Абросимов, Александр Викторович",1,1,0,0,1948,2011,14522,12,36,2,1829,0,2,3,20,0,,,,,,,3,1,1,Абросимов А В,4,13,373,,,,нет
"Авдеев, Николай Яковлевич",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Агаков, Всеволод Георгиевич",1,1,0,0,1979,2010,21977,27,65,0,853,0,2,9,103,3,,,,,,,,,,,,,,,,,
"Агаханов, Назар Хангельдыевич",1,1,0,0,1954,2008,12407,37,91,1,3588,0,6,6,39,3,,,,,,,35,80,3,Агаханов Назар Хангельдыевич,2,1,156,,,,нет
"Агрест, Матест Менделевич",1,1,0,0,1915,2006,7490,30,52,1,2727,0,7,5,36,2,,,,,,,,,,Агрест М М,7,,421,,,,нет
"Агокас, Сергей Викторович",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Адамян, Вадим Мовсесович",1,1,0,0,1938,2009,10899,21,67,4,1119,0,2,5,55,1,,,V.M. Adamyan,2570,21,36,,,,Адамян Вадим Мовсесович,12,213,3451,,,,нет
"Адельсон-Вельский, Георгий Максимович",1,1,0,0,1922,2007,6958,47,88,12,2637,0,9,14,24,1,,,,,,,,,,Адельсон-Вельский Г М,5,5,999,,,,да
"Адодуров, Василий Евдокимович",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Адян, Сергей Иванович",1,7,1,0,1931,2010,5929,25,47,6,2097,0,3,15,30,0,,,,,,,86,490,7,Адян Сергей Иванович,68,391,15362,,,,да
"Азбелев, Николай Викторович",1,6,0,0,1922,2011,7646,17,31,2,652,0,2,2,38,4,,,,,,,64,1017,8,Азбелев Николай Викторович,31,73,2188,,,,да
"Акбергенов, Ибадулла",1,1,0,0,1907,2015,3636,2,6,1,324,0,2,0,11,1,,,,,,,,,,Акбергенов И А,1,1,265,,,,нет
"Акилов, Глеб Павлович",1,5,0,0,1921,2016,12322,3,16,0,354,0,2,9,27,3,,,,,,,,,,Акилов Глеб Павлович,,,1361,,,,да
"Аксёнов, Митрофан Семёнович",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Александров, Александр Данилович",1,8,1,1,1912,2004,37742,121,298,14,11388,0,3,106,161,9,,,,,,,,,,Александров Александр Данилович,38,208,17277,,,,да
"Александров, Владимир Валентинович",1,2,0,0,1938,2015,5099,3,3,5,3505,0,2,4,14,5,,,,,,,,,,Александров В В,3,2,57,,,,нет
"Александров, Павел Сергеевич",1,8,1,1,1896,2006,24629,90,158,25,19257,0,5,84,134,4,,,,,,,,,,Александров Павел Сергеевич,30,69,35870,,,,да
"Александров, Иван Иванович (математик)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Александрян, Рафаэль Арамович",1,6,0,0,1923,2014,34750,4,28,1,904,0,3,4,131,3,,,,,,,,,,Александрян Рафаэль Арамович,1,11,832,,,,да
"Алексеев, Анатолий Арсениевич",1,1,0,0,1936,2015,3882,14,19,1,574,0,2,2,24,0,,,,,,,,,,,,,,,,,
"Алексеев, Виссарион Григорьевич",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Алексеев, Владимир Михайлович",1,6,0,0,1932,2012,7823,12,21,1,1229,0,2,8,30,2,,,,,,,,,,Алексеев Владимир Михайлович,9,158,3540,,,,нет
"Алексеев, Николай Николаевич (математик)",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Алескеров, Фуад Тагиевич",1,1,0,0,1951,2013,28411,21,33,2,3275,0,2,2,65,0,,,,,,,141,1226,11,Алескеров Фуад Тагиевич,22,19,2505,,,,нет
"Алёшин, Станислав Владимирович",1,1,0,0,1941,2016,1640,2,10,0,61,0,0,3,9,1,,,,,,,15,272,4,Алешин Станислав Владимирович,5,29,862,,,,
"Амербаев, Вильжан Мавлютинович",1,1,0,1,1931,2012,9694,18,45,1,1245,0,3,4,44,2,,,Амербаев Вильжан Мавлютинович,76,4,1,58,184,4,Амербаев В М,1,,298,,,,нет
"Андерсон, Оскар Николаевич",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Андреев, Константин Алексеевич",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Андреев, Николай Николаевич (математик)",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Андрианов, Дмитрий Леонидович",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Андронов, Александр Александрович (старший)",1,7,1,1,1901,2008,38969,43,104,14,4095,0,2,38,114,4,,,,,,,,,,Андронов Александр Александрович,4,14,956,,,,нет
"Андросенко, Пётр Александрович",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Андрунакиевич, Владимир Александрович",1,2,0,1,1917,2008,11596,21,53,3,654,0,5,8,50,0,,,,,,,,,,Андрунакиевич Владимир Александрович,25,33,4120,,,,нет
"Аникин, Валерий Михайлович",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Анисимов, Василий Афанасьевич",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Анкудович, Викентий Александрович",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Аносов, Дмитрий Викторович",1,8,1,1,1936,2010,9383,39,101,10,3111,0,2,23,28,11,,,,,,,66,863,8,Аносов Дмитрий Викторович ,77,483,27179,,,,да
"Антипин, Анатолий Сергеевич",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Аппельрот, Герман Германович",1,1,0,0,1866,2011,10073,9,36,0,630,0,2,5,25,0,,,,,,,,,,Аппельрот Герман Германович,12,5,1032,,,,нет
"Арак, Тайво Викторович",1,1,0,0,1946,2016,3581,4,6,0,110,0,2,2,13,4,,,,,,,,,,Арак Т В,10,34,827,,,,да
"Аракелов, Сурен Юрьевич",1,2,0,0,1947,2013,8591,14,28,5,1013,0,2,2,22,1,,,,,,,,,,Аракелов С Ю,2,38,1156,,,,нет
"Аракелян, Норайр Унанович",1,1,0,1,1936,2007,5383,24,37,2,543,0,7,8,43,2,,,,,,,,,,Аракелян Норайр Унанович,5,18,1108,,,,нет
"Араркцян, Бабкен Гургенович",1,1,0,0,1944,2007,6516,23,47,3,1762,0,8,5,70,1,,,,,,,,,,Араркцян Бабкен Гургенович,4,1,171,,,,нет
"Аристов, Владимир Владимирович",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Арнольд, Виталий Дмитриевич",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Арнольд, Владимир Игоревич",1,8,1,1,1937,2006,36258,182,353,41,36168,45,7,219,145,8,,,,,,,357,9341,26,Арнольд Владимир Игоревич,314,2440,120802,,,,да
"Арсланов, Марат Мирзаевич",1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Артамонов, Вячеслав Александрович",1,2,0,0,1946,2006,5531,30,45,0,1186,0,7,13,38,1,,,,,,,93,414,7,Артамонов Вячеслав Александрович,45,161,7674,,,,да
"Архангельский, Александр Владимирович",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Архангельский, Николай Михеевич",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Архипов, Геннадий Иванович",1,1,0,0,1945,2016,3816,4,7,0,139,0,2,5,14,4,,,,,,,80,514,9,Архипов Геннадий Иванович,67,103,8794,,,,да
"Аршеневский, Василий Кондратьевич",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Асанов, Магаз Оразкимович",1,1,0,0,1951,2010,5822,15,26,0,978,0,2,1,20,1,,,,,,,,,,Асанов М О,1,3,100,,,,нет
"Астряб, Александр Матвеевич",1,1,0,1,1879,2014,6944,4,14,1,479,0,2,2,22,0,,,,,,,,,,,,,,,,,
"Атанасян, Левон Сергеевич",1,1,0,0,1921,2013,11776,17,40,0,4916,0,3,11,21,0,,,,,,,,,,,,,,,,,
"Афанасьев, Александр Петрович ",1,1,0,0,1945,2008,35349,22,47,0,985,0,0,4,23,1,,,,,,,87,495,6,Афанасьев А П,,,,,,,
"Афанасьев, Владимир Васильевич ",1,1,0,0,1951,2010,9107,21,28,0,1216,0,1,3,26,1,,,,,,,43,351,6,Афанасьев Владимир Васильевич,1,,496,,,,нет
"Афанасьев, Пафнутий Алексеевич",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Афраймович, Валентин Сендерович",1,2,0,0,1945,2014,7125,6,29,1,369,0,4,1,30,2,,,Valentin Afraimovich,6047,33,81,107,1760,14,Афраймович Валентин Сендорович,9,107,5438,,,,да
"Ахиезер, Наум Ильич",1,4,0,1,1901,2007,5550,46,75,8,1977,0,7,15,24,1,,,,,,,,,,Ахиезер Наум Ильич,17,23,5531,,,,нет
"Ахтямов, Азамат Мухтарович",0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ашихмин, Валерий Николаевич",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бабич, Василий Михайлович",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Базен, Пьер-Доминик",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Базылев, Вячеслав Тимофеевич",1,1,0,0,1919,2015,10163,3,11,0,723,0,2,2,21,3,,,,,,,,,,Базылев Вячеслав Тимофеевич,8,6,919,,,,да
"Бакиров, Наиль Кутлужанович",1,1,0,0,1952,2014,4982,4,11,1,441,0,2,1,21,2,,,,,,,45,279,4,Бакиров Наиль Кутлужанович ,26,9,3343,,,,да
"Балк, Марк Беневич",1,1,0,0,1923,2016,3847,3,19,0,65,0,0,2,6,1,,,,,,,,,,Балк Марк Беневич,8,14,2190,,,,
"Барбашин, Евгений Алексеевич",1,7,0,1,1918,2016,4232,3,4,1,27,0,2,3,8,0,,,,,,,,,,Барбашин Евгений Алексеевич,21,3,2276,,,,нет
"Бари, Нина Карловна",2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Баренблатт, Григорий Исаакович",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бартельс, Мартин Фёдорович",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Баскаков, Анатолий Григорьевич",1,1,0,0,1944,2011,7162,14,25,1,1021,0,2,2,34,3,,,,,,,144,1184,15,Баскаков Анатолий Григорьевич,48,585,19666,,,,да
"Бахвалов, Николай Сергеевич",1,6,0,0,1934,2006,11356,37,74,4,1714,0,7,36,56,3,,,,,,,98,3651,14,Бахвалов Николай Сергеевич ,39,294,8909,,,,да
"Бахвалов, Сергей Владимирович",1,1,0,0,1898,2012,7161,8,14,0,645,0,2,4,15,2,,,,,,,,,,Бахвалов Сергей Владимирович,4,1,845,,,,нет
"Башмаков, Марк Иванович",1,2,0,0,1937,2012,28901,16,45,0,3980,0,2,7,66,3,,,,,,,200,558,8,Башмаков Марк Иванович,11,38,1629,,,,нет
"Башмакова, Изабелла Григорьевна",1,1,0,1,1921,2012,11414,11,56,2,1589,0,3,16,23,4,,,,,,,7,153,4,Башмакова Изабелла Григорьевна,,,4565,,,,да
"Безикович, Абрам Самойлович",2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бейер, Евгений Ильич фон",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бейлинсон, Александр Александрович",1,1,0,0,1957,2014,4269,4,7,5,1145,0,2,4,20,2,,,,,,,10,16,1,Бейлинсон Александр Александрович,14,99,5788,,,,да
"Беклемишев, Лев Дмитриевич",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Белавкин, Вячеслав Павлович",1,1,0,0,1946,2014,3394,4,6,3,407,0,3,1,13,3,,,,,,,,,,Белавкин Вычеслав П,16,43,2126,,,,да
"Белинский, Павел Петрович",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Белоусов, Валентин Данилович",1,1,0,1,1925,2015,17556,20,93,2,952,0,3,3,25,0,,,,,,,,,,Белоусов Валентин Данилович,12,32,2683,,,,
"Белоцерковский, Олег Михайлович",1,6,1,1,1925,2005,20007,83,200,1,11313,0,8,23,65,4,,,Олег Белоцерковский,3684,31,76,131,1883,11,Белоцерковский Олег Михайлович ,53,235,10802,,,,
"Бененсон, Залман Михайлович",1,1,0,0,1922,2011,53422,23,335,0,949,0,2,5,107,0,,,,,,,11,21,2,Бененсон З М,1,,29,,,,
"Бердышев, Виталий Иванович",1,3,0,0,1939,2013,8709,10,14,0,1061,0,2,5,37,4,,,,,,,91,232,5,Бердышев Виталий Иванович,34,113,5931,,,,
"Березин, Иван Семёнович",1,5,0,0,1920,2012,12088,17,35,0,789,0,5,11,34,3,,,,,,,,,,Березин И С,1,1,321,,,,
"Березин, Феликс Александрович",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Березовский, Борис Абрамович",1,3,0,0,1946,2005,220797,755,2052,38,441360,121,7,204,465,11,,,,,,,,,,Березовский Б А,12,1,742,,,,
"Беркович, Евгений Михайлович",0,0,0,0,1945,2008,13386,28,95,0,2529,0,5,28,27,0,,,,,,,2,2,1,Беркович Е М,7,13,351,,,,
"Берлова, Наталья Геннадьевна",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бермант, Анисим Фёдорович",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бернулли, Даниил",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бернулли, Николай",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бернштейн, Иосиф Наумович",1,4,0,1,1945,2015,4161,6,14,6,1781,0,2,11,31,0,,,,,,,,,,Бернштейн Иосиф Н,24,425,7375,,,,
"Бернштейн, Сергей Натанович",3,8,1,1,1880,2006,9029,59,80,16,5564,0,4,57,53,4,,,,,,,,,,Бернштейн Сергей Натанович ,54,28,6194,,,,
"Берштейн, Леонид Самойлович",1,1,0,0,1941,2016,9934,11,54,0,496,0,2,4,24,1,,,,,,,74,1023,8,Берштейн Л С,6,1,351,,,,
"Бесов, Олег Владимирович",2,6,0,1,1933,2006,15083,35,90,2,1581,0,7,6,49,3,,,,,,,113,972,8,Бесов Олег Владимирович,116,616,18673,,,,
"Бессель, Александр Васильевич",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Билимович, Антон Дмитриевич",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бильфингер, Георг Бернгард",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бирман, Михаил Шлёмович",1,5,0,0,1928,2012,8154,20,55,0,602,0,5,1,13,2,,,,,,,153,1964,17,Бирман Михаил Шлемович,64,997,18853,,,,
"Бицадзе, Андрей Васильевич",1,6,1,1,1916,2009,13214,29,69,3,1657,0,3,11,34,3,,,,,,,44,847,9,Бицадзе Андрей Васильевич ,20,28,5695,,,,
"Блажеевский, Ромуальд Осипович",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бобков, Сергей Германович",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бобров, Сергей Павлович",0,0,0,0,1889,2007,12189,39,68,1,5206,0,4,36,36,4,,,,,,,,,,Бобров С П,1,,183,,,,
"Бобылёв, Николай Антонович",1,4,0,0,1947,2014,37327,13,175,1,867,0,6,2,35,5,,,,,,,95,396,7,Бобылев Николай Антонович,43,74,4235,,,,
"Богатырёв, Андрей Борисович",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Богданов, Рифкат Ибрагимович",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Богомолов, Фёдор Алексеевич",1,6,0,0,1946,2012,7156,19,39,4,1969,0,5,9,27,3,,,Fedor Bogomolov,2588,26,53,53,218,7,Богомолов Фёдор Алексеевич,84,690,7002,,,,
"Бойчук, Александр Андреевич",1,1,0,0,1950,2012,10954,9,21,3,697,0,2,3,56,2,,,,,,,,,,Бойчук Александр Андреевич,3,2,143,,,,
"Бокаев, Садуакас Хасенулы",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Болибрух, Андрей Андреевич",1,7,1,0,1950,2015,10374,49,104,4,2021,0,9,12,49,5,,,,,,,37,234,6,Болибрух Андрей Андреевич,97,285,10369,,,,
"Болотов, Виктор Александрович",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Болтянский, Владимир Григорьевич",1,6,0,1,1925,2007,8582,32,55,7,2035,0,7,34,39,1,,,,,,,91,3338,10,Болтянский Владимир Григорьевич,49,79,10768,,,,
"Боль, Пирс Георгиевич",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Большев, Логин Николаевич",1,6,0,1,1922,2014,18309,9,26,2,868,0,2,7,98,2,,,,,,,,,,Большев Логин Николаевич ,18,8,2524,,,,
"Бондарева, Ольга Николаевна",1,4,0,0,1937,2009,17190,23,41,1,2056,0,2,6,49,0,,,,,,,,,,Бондарева О Н,2,,112,,,,
"Боревич, Зенон Иванович",1,6,0,0,1922,2012,5190,11,43,2,967,0,2,6,21,6,,,,,,,,,,Боревич Зенон Иванович,42,127,4283,,,,
"Борисов, Алексей Владимирович",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Борисов, Виктор Васильевич (математик)",0,3,0,0,1937,2015,2563,4,6,1,336,0,0,3,10,2,,,,,,,44,142,7,Борисов Виктор В,2,1,149,,,,
"Борисов, Владимир Фёдорович",1,1,0,0,1961,2016,8380,2,4,0,156,0,5,3,23,4,,,,,,,,,,Борисов Владимир Федорович,9,23,2030,,,,
"Боровков, Александр Алексеевич",1,7,1,1,1931,2010,8707,19,42,0,1794,0,2,17,37,10,,,,,,,173,1744,15,Боровков Александр Алексеевич,109,502,21125,,,,
"Бородин, Алексей Михайлович",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Борухов, Валентин Терентьевич",0,1,0,0,1947,2013,8472,7,12,0,504,0,2,1,27,0,,,,,,,61,217,5,Борухов Валентин Терентьевич,12,6,844,,,,
"Бочкарёв, Сергей Викторович",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Браверман, Эммануил Маркович",1,4,0,0,1931,2014,8147,7,23,0,798,0,2,3,26,0,,,,,,,,,,Браверман Э М,10,4,310,,,,
"Брадис, Владимир Модестович",0,2,0,1,1890,2006,7304,59,92,1,13829,0,8,13,25,2,,,,,,,,,,,,,,,,,
"Браиловский, Виктор Львович",0,0,0,0,1935,2008,4499,33,68,4,1521,0,5,25,16,2,,,,,,,,,,,,,,,,,
"Брайцев, Иван Романович",0,1,0,0,1870,2008,6012,19,31,1,374,0,2,8,10,1,,,,,,,,,,Брайцев Иван Романович ,10,,730,,,,
"Брашман, Николай Дмитриевич",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Брегман, Лев",1,1,0,0,1941,2014,3547,4,11,1,420,0,1,1,9,2,,,,,,,,,,,,,,,,,
"Брин, Михаил Израилевич",1,2,0,0,1948,2014,9807,6,39,1,12846,0,3,2,22,0,,,,,,,,,,Брин Михаэль И,7,53,1361,,,,
"Бронштейн, Идел Ушерович",2,3,0,0,1936,2008,9024,10,52,0,509,0,4,7,47,0,,,,,,,,,,Бронштейн Идел Ушерович,15,8,845,,,,
"Брудно, Александр Львович",1,3,0,0,1918,2012,21670,22,80,1,1118,0,2,10,46,1,,,,,,,,,,Брудно Александр Львович,9,3,1660,,,,
"Брюно, Александр Дмитриевич",2,6,0,0,1940,2014,4177,4,10,2,441,0,2,1,9,4,,,,,,,311,2612,15,Брюно Александр Дмитриевич,133,322,10080,,,,
"Бубнов, Иван Григорьевич",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бугаев, Николай Васильевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бугров, Яков Степанович",0,2,0,0,1927,2007,5836,17,47,0,692,0,6,4,30,2,,,,,,,,,,Бугров Яков Степанович,23,45,2276,,,,
"Будаев, Николай Сергеевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Булинский, Александр Вадимович",1,5,0,0,1952,2012,6896,10,41,0,1020,0,2,2,5,4,,,,,,,42,434,9,Булинский Александр Вадимович,22,60,2929,,,,
"Букреев, Борис Яковлевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бунимович, Леонид Абрамович",1,4,0,0,1943,2014,3899,5,10,4,933,0,9,4,17,1,,,,,,,,,,Бунимович Леонид Абрамович,12,276,5600,,,,
"Буницкий, Евгений Леонидович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Буняковский, Виктор Яковлевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бураго, Дмитрий Юрьевич",0,,0,0,1964,2014,4711,9,15,2,1901,0,2,8,14,3,,,,,,,,,,Бураго Дмитрий Юрьевич,3,5,772,,,,
"Бураго, Юрий Дмитриевич",1,2,0,0,1936,2014,4379,7,15,4,3339,0,2,16,14,1,,,,,,,23,320,4,Бураго Юрий Дмитриевич,28,127,9027,,,,
"Буркин, Игорь Михайлович",1,1,0,0,1948,2010,4765,16,25,0,567,0,2,2,20,1,,,,,,,43,302,4,Буркин Игорь Михайлович,6,,26,,,,
"Бурков, Владимир Николаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
