J. Barkley Rosser,1907,1989
Alfred Korzybski,1879,1950
William Thurston,1946,2012
Seymour Papert,1928,2016
Stephen Cole Kleene,1909,1994
George Bernard Dantzig,1914,2005
Sam Loyd,1841,1911
C. Olin Ball,1893,1970
Francis Robbins Upton,1852,1921
Leon Bankoff,1908,1997
Alexander Abian,1923,1999
Max Mason,1877,1961
Maxime Bôcher,1867,1918
Charles C. Conley,1933,1984
Earle Wheeler,1908,1975
Emil Leon Post,1897,1954
John Tate,1925,2019
Gorō Shimura,1930,2019
Mitchell Feigenbaum,1944,2019
Daniel Quillen,1940,2011
Vladimir Voevodsky,1966,2017
Hugh Everett III,1930,1982
Paul Halmos,1916,2006
George William Hill,1838,1914
Maxwell Rosenlicht,1924,1999
Gerhard Hochschild,1915,2010
Solomon Lefschetz,1884,1972
Serge Lang,1927,2005
Jacob Tamarkin,1888,1945
Nelson Dunford,1906,1986
James Serrin,1926,2012
Leonard Jimmie Savage,1917,1971
Donald C. Spencer,1912,2001
Oscar Zariski,1899,1986
Edwin Spanier,1921,1996
Leonard Carlitz,1907,1999
Edward Nelson,1932,2014
Irving Segal,1918,1998
Francis Joseph Murray,1911,1996
Elmārs Zemgalis,1923,2014
Robert Sorgenfrey,1915,1995
Rudolf E. Kálmán,1930,2016
Henry Burchard Fine,1858,1928
Akiva Yaglom,1921,2007
Tom M. Apostol,1923,2016
Peter L. Hammer,1936,2006
Alston Scott Householder,1904,1993
P. D. Ouspensky,1878,1947
Allen Newell,1927,1992
John Mather,1942,2017
Edward Kasner,1878,1955
Raymond Smullyan,1919,2017
Raoul Bott,1923,2005
Richard E. Bellman,1920,1984
Saunders Mac Lane,1909,2005
Christine Ladd-Franklin,1847,1930
Gilbert Ames Bliss,1876,1951
Chaim L. Pekeris,1908,1993
Benjamin Banneker,1731,1806
Edward Burr Van Vleck,1863,1943
Ronald Rivlin,1915,2005
David Slepian,1923,2007
Igor Ansoff,1918,2002
Anneli Cahn Lax,1922,1999
Rufus Isaacs,1914,1981
Alberto Calderón,1920,1998
J. Laurie Snell,1925,2011
Antoni Zygmund,1900,1992
Arthur E. Kennelly,1861,1939
Alexander Esenin-Volpin,1924,2016
Claude Chevalley,1909,1984
Harry Kesten,1931,2019
Edna Kramer,1902,1984
Samuel Karlin,1924,2007
Martin Gardner,1914,2010
Max Black,1909,1988
Carl Georg Barth,1860,1939
Walter Pitts,1923,1969
Edgar Buckingham,1867,1940
Arthur Milgram,1912,1961
Cassius Jackson Keyser,1862,1947
Edwin Thompson Jaynes,1922,1998
William Arveson,1934,2011
Arthur Sard,1909,1980
Harold Hotelling,1895,1973
Arthur Burks,1915,2008
Arthur Wightman,1922,2013
Gilbert Vernam,1890,1960
Richard C. Tolman,1881,1948
Hendrik Wade Bode,1905,1982
Artur Winternitz,1893,1961
Chia-Chiao Lin,1916,2013
John Jay Gergen,1903,1967
Nachman Aronszajn,1907,1980
Jacob Wolfowitz,1910,1981
Jon Barwise,1942,2000
James Waddell Alexander II,1888,1971
Marston Morse,1892,1977
William Fogg Osgood,1864,1943
Chauncey Wright,1830,1875
Bernard Dwork,1923,1998
Louis J. Mordell,1888,1972
Edwin Foster Coddington,1870,1950
Forest Ray Moulton,1872,1952
Eliakim Hastings Moore,1862,1932
Mark Kac,1914,1984
Raj Chandra Bose,1901,1987
Marshall Harvey Stone,1903,1989
Richard Friederich Arens,1919,2000
Hassler Whitney,1907,1989
Thomas L. Saaty,1926,2017
Alfred Horn,1918,2001
Richard Brauer,1901,1977
Jürgen Moser,1928,1999
Hans Lewy,1904,1988
Ernst Ising,1900,1998
Hermann Weyl,1885,1955
Jacob Matijevic,1947,2012
Kurt O. Friedrichs,1901,1982
Hans-Joachim Bremermann,1926,1996
William Prager,1903,1980
Albert Einstein,1879,1955
Thomas Alva Edison,1847,1931
Winifred Asprey,1917,2007
Jean Bartik,1924,2011
Annie Easley,1933,2011
Betty Holberton,1917,2001
Grace Hopper,1906,1992
Mary Kenneth Keller,1913,1985
Jean E. Sammet,1928,2017
John von Neumann,1903,1957
Kathleen Antonelli,1921,2006
Frederick Gehring,1925,2012
John George Kemeny,1926,1992
Adele Goldstine,1920,1964
Kurt Gödel,1906,1978
Barys Kit,1910,2018
Dennis M. Ritchie,1941,2011
Marlyn Meltzer,1922,2008
Frances Spence,1922,2012
Ruth Teitelbaum,1924,1986
Emil Artin,1898,1962
Max August Zorn,1906,1993
Carl-Gustaf Rossby,1898,1957
Charles Proteus Steinmetz,1865,1923
Richard Courant,1888,1972
Max Dehn,1878,1952
Carl Gustav Hempel,1905,1997
Horst Feistel,1915,1990
Alan Perlis,1922,1990
Emil Julius Gumbel,1891,1966
David Blackwell,1919,2010
R. Duncan Luce,1925,2012
Edward Vermilye Huntington,1874,1952
Wladimir Seidel,1907,1981
Samuel Eilenberg,1913,1998
Richard Montague,1930,1971
Oswald Veblen,1880,1960
Garrett Birkhoff,1911,1996
Jerzy Neyman,1894,1981
Mina Rees,1902,1997
Carol Karp,1926,1972
Eric Temple Bell,1883,1960
Darrell Huff,1913,2001
Stanisław Ulam,1909,1984
Lloyd Shapley,1923,2016
James Massey,1934,2013
Agnes Meyer Driscoll,1889,1971
Herman Kahn,1922,1983
Irene Stegun,1919,2008
Elizebeth Smith Friedman,1892,1980
Herman Otto Hartley,1912,1980
Alexander Weinstein,1897,1979
George Pólya,1887,1985
Howard H. Aiken,1900,1973
G. Waldo Dunnington,1906,1974
Liviu Librescu,1930,2007
William James Sidis,1898,1944
John Vincent Atanasoff,1903,1995
Jesse Douglas,1897,1965
Israel Gelfand,1913,2009
George Gallup,1901,1984
Harry Nyquist,1889,1976
Milton Babbitt,1916,2011
J. Carson Mark,1913,1997
Patrick Suppes,1922,2014
Wassily Hoeffding,1914,1991
Abraham Adrian Albert,1905,1972
Lester R. Ford,1886,1967
George David Birkhoff,1884,1944
John Alan Robinson,1930,2016
Ernest Michael,1925,2013
Shiing-Shen Chern,1911,2004
Richard M. Goodwin,1913,1996
Griffith C. Evans,1887,1973
Milton Abramowitz,1915,1958
Abraham H. Taub,1911,1999
Calvin Mooers,1919,1994
Abraham Sachs,1914,1983
Abraham Robinson,1918,1974
Abraham Seidenberg,1916,1988
Abraham Sinkov,1907,1998
Philip J. Davis,1923,2018
G. B. Halsted,1853,1922
William S. Hatcher,1935,2005
John L. Kelley,1916,1999
Jean van Heijenoort,1912,1986
Mary Ellen Rudin,1924,2013
Emma Lehmer,1906,2007
Gertrude Mary Cox,1900,1978
Marina Ratner,1938,2017
Cathleen Synge Morawetz,1923,2017
Oscar Lanford,1940,2013
J. V. Uspensky,1883,1947
Edwin Hewitt,1920,1999
Ellis Kolchin,1916,1991
Robert Lawson Vaught,1926,2002
Stephen Schanuel,1933,2014
Julia Robinson,1919,1985
John Selfridge,1927,2010
Harold W. Kuhn,1925,2014
Gerald B. Whitham,1927,2014
Henry Adams,1838,1918
Daniel Kirkwood,1814,1895
William R. Pogue,1930,2014
Ernest William Brown,1866,1938
Gordon Welchman,1906,1985
Benjamin Peirce,1809,1880
Nesmith Ankeny,1927,1993
Henry Seely White,1861,1943
Walter Rudin,1921,2010
Victor Klee,1925,2007
Eduard Prugovečki,1937,2003
Paul G. Comba,1926,2017
Alfred J. Lotka,1880,1949
Edward Hebern,1869,1952
Anatol Rapoport,1911,2007
Anatole Katok,1944,2018
Andrei Zelevinsky,1953,2013
Louis Guttman,1916,1987
Andrew Gleason,1921,2008
Warren Weaver,1894,1978
Meredith Gardner,1912,2002
Lambros D. Callimahos,1910,1977
Elizabeth Scott,1917,1988
Norman Johnson,1930,2017
Eberhard Hopf,1902,1983
Ernst G. Straus,1922,1983
Gregor Wentzel,1898,1978
Bruno Augenstein,1923,2005
Edgar F. Codd,1923,2003
Haskell Curry,1900,1982
Richard Hamming,1915,1998
John Cocke,1925,2002
Richard Crandall,1947,2012
John McCarthy,1927,2011
Jef Raskin,1943,2005
Alonzo Church,1903,1995
John Backus,1924,2007
Claude Shannon,1916,2001
Seymour Cray,1925,1996
Lotfi Aliasker Zadeh,1921,2017
Franz Alt,1910,2011
George Stibitz,1904,1995
Daniel Lewin,1970,2001
Ronald V. Book,1937,1997
Irving S. Reed,1923,2012
George Marsaglia,1924,2011
Edward F. Moore,1925,2003
David Sayre,1924,2012
Nicholas Metropolis,1915,1999
Marcel J. E. Golay,1902,1989
Jacob T. Schwartz,1930,2009
Aravind Joshi,1929,2017
Gustave Solomon,1930,1996
Llewellyn Thomas,1903,1992
Herman Goldstine,1913,2004
Victor A. Vyssotsky,1931,2012
Wallace Givens,1910,1993
Daniel Slotnick,1931,1985
Oskar Morgenstern,1902,1977
Paul Lazarsfeld,1901,1976
Alfred Brauer,1894,1985
Benoit Mandelbrot,1924,2010
Asaph Hall,1829,1907
Herbert A. Hauptman,1917,2011
Tjalling Koopmans,1910,1985
Leon Henkin,1921,2006
Herbert Federer,1920,2010
Gerhard Ringel,1919,2008
Ferdinand Rudolph Hassler,1770,1843
Anna Johnson Pell Wheeler,1883,1966
Florian Cajori,1859,1930
Peter Henrici,1923,1987
David Pingree,1933,2005
Herbert Wilf,1931,2012
Carl B. Allendoerfer,1911,1974
Cecil J. Nesbitt,1912,2001
Charles J. Mendelsohn,1880,1939
Charles L. Bouton,1869,1922
"Charles B. Morrey, Jr.",1907,1984
Charles Stein,1920,2016
Charles Cobb,1875,1949
Cornelius Lanczos,1893,1974
Clifford S. Gardner,1924,2013
Daniel Gorenstein,1923,1992
David Eugene Smith,1860,1944
David Gale,1921,2008
David Gilbarg,1918,2001
David Gottlieb,1944,2008
D. R. Fulkerson,1924,1976
Derrick Henry Lehmer,1905,1991
William Caspar Graustein,1888,1941
Edwin F. Beckenbach,1906,1982
Donald G. Higman,1928,2006
Donald Kalish,1919,2000
Robert Schatten,1911,1977
Chung Kai-lai,1917,2009
Raphael M. Robinson,1911,1995
Dunham Jackson,1888,1946
Herbert Yardley,1889,1958
Eugene Lawler,1933,1994
Edith Hirsch Luchins,1921,2002
Lesley Sibner,1934,2013
Edward J. McShane,1904,1989
Edward W. Veitch,1924,2013
Edwin E. Floyd,1924,1990
Edwin E. Moise,1918,1998
Ralph S. Phillips,1913,1998
Robert Morris,1932,2011
Elwyn Ralph Berlekamp,1940,2019
Robert Thomas Seeley,1932,2016
Elias M. Stein,1931,2018
Elijah Hinsdale Burritt,1794,1838
Elizabeth Frances Cope,1902,1982
Elizabeth Frances Cope,1902,1983
Emil Grosswald,1912,1989
Joseph Leonard Walsh,1895,1973
Robert MacArthur,1930,1972
Albert Charles Schaeffer,1907,1957
Henry M. Sheffer,1882,1964
George R. Price,1922,1975
Ernest C. Schlesinger,1925,2008
Ernest Julius Wilczynski,1876,1932
Armand Borel,1923,2003
John Forbes Nash,1928,2015
Irving Kaplansky,1917,2006
Subrahmanyan pedrokhar,1910,1995
Josiah Willard Gibbs,1839,1903
Eugene Wigner,1902,1995
Leonid Hurwicz,1917,2008
Theodore von Kármán,1881,1963
Simon Newcomb,1835,1909
Charles Sims,1938,2017
Hilda Geiringer,1893,1973
Zdeněk Kopal,1914,1993
Éamon de Valera,1882,1975
Edward Norton Lorenz,1917,2008
Norbert Wiener,1894,1964
Robert H. Goddard,1882,1945
Julian Schwinger,1918,1994
Joseph Rochefort,1900,1976
Charles Sanders Peirce,1839,1914
Herman Hollerith,1860,1929
Leon M. Lederman,1922,2018
John Hasbrouck Van Vleck,1899,1980
Mihajlo Pupin,1858,1935
William Feller,1906,1970
Robert Steinberg,1922,2014
Marvin Minsky,1927,2016
Alfred Tarski,1901,1983
Gérard Debreu,1921,2004
Atle Selberg,1917,2007
Lars Ahlfors,1907,1996
Herbert Busemann,1905,1994
Willard Van Orman Quine,1908,2000
Willi Apel,1893,1988
Charles Loewner,1893,1968
Salomon Bochner,1899,1982
Fritz John,1910,1994
Valentine Bargmann,1908,1989
Lipman Bers,1914,1993
Jacob Klein,1899,1978
Paul Cohen,1934,2007
Percival Lowell,1855,1916
Václav Hlavatý,1894,1969
Hilary Putnam,1926,2016
Morris Kline,1908,1992
Kenneth Appel,1932,2013
George Abram Miller,1863,1951
George Forsythe,1917,1972
George H. Mealy,1927,2010
George Minty,1929,1986
George Mostow,1923,2017
George Springer,1924,2019
George W. Whitehead,1918,2004
Gerald Sacks,1933,2019
Gerard Washnitzer,1926,2017
Gian-Carlo Rota,1932,1999
Michael O'Nan,1943,2017
Edgar Gilbert,1923,2013
Glenn James,1882,1961
Stefan Bergman,1895,1977
Gordon Ferrie Hull,1870,1956
Gordon Thomas Whyburn,1904,1969
Gustav A. Hedlund,1904,1993
Levi L. Conant,1857,1916
Halsey Royden,1928,1993
Robert C. James,1918,2004
Hans Samelson,1916,2005
Harish-Chandra,1923,1983
Harley Flanders,1925,2013
Harold Grad,1923,1986
Harry Rauch,1925,1979
Jack E. McLaughlin,1923,2001
Henry Gordon Rice,1920,2003
Henry Mann,1905,2000
Herbert Keller,1925,2008
Herbert John Ryser,1923,1985
David P. Robbins,1942,2003
Irvin Cohen,1917,1955
Ivan M. Niven,1915,1999
Ivan Sokolnikoff,1901,1976
John Coleman Moore,1923,2016
Jack Silver,1942,2016
Patrick Billingsley,1925,2011
James Eells,1926,2007
James J. Stoker,1905,1992
James Pierpont,1866,1938
Jane Cronin Scanlon,1922,2018
Joel Smoller,1935,2017
Philip Hartman,1915,2015
Pierre Conner,1932,2018
Raymond Louis Wilder,1896,1982
Reo Fortune,1903,1979
Richard Bruck,1914,1991
Richard Duffin,1909,1996
Richard Kadison,1925,2018
Richard Leibler,1914,2003
Robert Creighton Buck,1920,1998
Robert P. Dilworth,1914,1993
Robert F. Coleman,1954,2014
Robert D. Richtmyer,1910,2003
Robert Evert Stong,1936,2008
Rodica Simion,1955,2000
Ronald G. Douglas,1938,2018
R. M. Foster,1896,1998
Rufus Bowen,1947,1978
M. Salah Baouendi,1937,2011
Samuel S. Wilks,1906,1964
Robert Coveyou,1915,1996
Arthur Herbert Copeland,1898,1970
Stanley Tennenbaum,1927,2005
Steven Orszag,1943,2011
Maurice Auslander,1926,1994
Boris Moishezon,1937,1993
Thomas Wolff,1954,2000
Orson Pratt,1811,1881
Victor Zarnowitz,1919,2009
Walter Conrad Arensberg,1878,1954
Wilbur Knorr,1945,1997
William Frederick Eberlein,1917,1986
William J. LeVeque,1923,2007
Wolfgang Sternberg,1887,1953
Clarence A. Waldo,1852,1926
Hubert Lilliefors,1928,2008
George W. Snedecor,1881,1974
Carl Benjamin Boyer,1906,1976
George F. Carrier,1918,2002
Menahem Max Schiffer,1911,1997
Johannes Nitsche,1925,2006
Marvin Wunderlich,1937,2013
John Monroe Van Vleck,1833,1912
Robert Thomason,1952,1995
John R. Stallings,1935,2008
Joseph Abraham Zilber,1923,2009
Joseph Desch,1907,1987
Joseph L. Taylor,1941,2016
Joseph Mauborgne,1881,1971
Joseph Robert Shoenfield,1927,2000
Joseph Ritt,1893,1951
Julian Coolidge,1873,1954
Thomas M. Cover,1938,2012
Kenneth Hoffman,1930,2008
William Thomas Reid,1907,1977
Zerah Colburn,1804,1840
Marvin Knopp,1933,2011
Virginia Ragsdale,1870,1945
Robert Walker,1909,1992
Maryam Mirzakhani,1977,2017
Lawrence E. Payne,1923,2011
Leon Ehrenpreis,1930,2010
"L. R. Ford, Jr.",1927,2017
Luther P. Eisenhart,1876,1965
Lynn Harold Loomis,1915,1994
Mark Mahowald,1931,2013
Marshall Hall,1910,1990
Martin David Kruskal,1925,2006
Michael Herman,1942,2000
Witold Hurewicz,1904,1956
M. D. Donsker,1924,1991
Oliver Dimon Kellogg,1878,1932
Herbert Enderton,1936,2010
Paco Axel Lagerstrom,1914,1989
Joseph Winlock,1826,1875
Paul C. Rosenbloom,1920,2005
Paul Garabedian,1927,2010
Pauline Sperry,1885,1967
Aurel Wintner,1903,1958
Albert W. Tucker,1905,1995
Louis Auslander,1928,1997
"Ralph P. Boas, Jr.",1912,1992
Zoltán Tibor Balogh,1953,2002
Raymond Redheffer,1921,2005
Norman Levinson,1912,1975
Benson Mates,1919,2009
Bernard Koopman,1900,1981
Bertram Kostant,1928,2017
Ralph Faudree,1939,2015
Bryant Tuckerman,1915,2002
Robert J. McEliece,1942,2019
Benjamin Finkel,1865,1947
William Batchelder Greene,1819,1878
Billy James Pettis,1913,1979
Eugene Lukacs,1906,1987
William Gemmell Cochran,1909,1980
Leonard Eugene Dickson,1874,1954
Boris Levitan,1914,2004
Solomon Kullback,1907,1994
Tibor Radó,1895,1965
Shreeram Shankar Abhyankar,1930,2012
David Rittenhouse,1732,1796
Edwin Bidwell Wilson,1879,1964
Wallace John Eckert,1902,1971
Elias Loomis,1811,1889
Oded Schramm,1961,2008
Daniel Shanks,1917,1996
Nicolas Rashevsky,1899,1972
Israel Nathan Herstein,1923,1988
Einar Hille,1894,1980
James Ax,1937,2006
Harry Vandiver,1882,1973
Deane Montgomery,1909,1992
Leo Breiman,1928,2005
George Kelly,1905,1967
Theodore Samuel Motzkin,1908,1970
Eugene Odum,1913,2002
Harry Bateman,1882,1946
Marion Tinsley,1927,1995
Charles Sheffield,1935,2002
Ormond Stone,1847,1933
Seymour Geisser,1929,2004
Richard Levins,1930,2016
Elliott Waters Montroll,1916,1983
Walter Feit,1930,2004
Clifford Truesdell,1919,2000
Joseph Keller,1923,2016
Nathan Jacobson,1910,1999
David Widder,1898,1990
Herbert Robbins,1915,2001
Georg Kreisel,1923,2015
Solomon Feferman,1928,2016
Fischer Black,1938,1995
John Charles Chenoweth McKinsey,1908,1953
William F. Friedman,1891,1969
Laurance Safford,1890,1973
Karl-Ludwig Stellmacher,1909,2001
Paul Sophus Epstein,1883,1966
Eric Reissner,1913,1996
Robert Osserman,1926,2011
Robert Daniel Carmichael,1879,1967
Magnus Hestenes,1906,1991
Joseph Kruskal,1928,2010
Sumner Byron Myers,1910,1955
Jay Laurence Lush,1896,1982
Ida Rhodes,1900,1986
Ingram Olkin,1924,2016
Irene Fischer,1907,2009
Irving Stringham,1847,1909
Isaac Greenwood,1702,1745
Isador M. Sheffer,1901,1992
"Isidore Isaac Hirschman, Jr.",1922,1990
"J. Ernest Wilkins, Jr.",1923,2011
James Alexander Shohat,1886,1944
James Cannon,1740,1782
James Earl Baumgartner,1943,2011
James Henry Coffin,1806,1873
James Henry Taylor,1893,1972
James Howard Gore,1856,1939
James J. Andrews,1930,1998
James McMahon,1856,1922
James Murdoch Austin,1915,2000
James R. Jackson,1924,2011
Jared Mansfield,1759,1830
Jekuthiel Ginsburg,1889,1957
Jeremiah J. Callahan,1878,1969
Jerome Levine,1937,2006
Joel Lee Brenner,1912,1997
John E. Osborn,1936,2011
John Farrar,1779,1853
John Fraser,1823,1878
John George Herriot,1916,2003
John Howard Redfield,1879,1944
John Irwin Hutchinson,1867,1935
John R. Isbell,1930,2005
John Riordan,1903,1988
John Wrench,1911,2009
Jon Folkman,1938,1969
Jonathan Mock Beck,1935,2006
Joseph Adna Hill,1860,1938
Joseph Caldwell,1773,1835
Joseph Konhauser,1924,1992
Joseph L. Fleiss,1937,2003
Joseph L. Ullman,1923,1995
Joseph Lovering,1813,1892
Joseph Madachy,1927,2014
Joseph Shalika,1941,2010
Joyce McLaughlin,1939,2017
Judith Q. Longyear,1938,1995
Justin Jesse Price,1930,2011
Karel deLeeuw,1930,1978
Kenneth P. Williams,1887,1958
Paul A. Smith,1900,1980
Klaus Fischer,1943,2009
Eugene Dynkin,1924,2014
Howard P. Robertson,1903,1961
Nathaniel Bowditch,1773,1838
Lynn Steen,1941,2015
Herbert Scarf,1930,2015
Errett Bishop,1928,1983
George Mackey,1916,2006
Gene H. Golub,1932,2007
Joseph Leo Doob,1910,2004
James Cooley,1926,2016
Norman Steenrod,1910,1971
John William Theodore Youngs,1910,1970
James Dean,1776,1849
Hans Frederick Blichfeldt,1873,1945
George Boolos,1940,1996
Paul T. Bateman,1919,2012
Solomon W. Golomb,1932,2016
R. H. Bing,1914,1986
