http://www.wikidata.org/entity/Q7604,Леонард Эйлер
http://www.wikidata.org/entity/Q20430,Сергей Петрович Капица
http://www.wikidata.org/entity/Q32399,"Бари, Нина Карловна"
http://www.wikidata.org/entity/Q34458,Сергей Михайлович Никольский
http://www.wikidata.org/entity/Q40418,"Френкель, Эдвард"
http://www.wikidata.org/entity/Q41239,Константин Эдуардович Циолковский
http://www.wikidata.org/entity/Q43323,"Бесов, Олег Владимирович"
http://www.wikidata.org/entity/Q45113,Моисей Шейнфинкель
http://www.wikidata.org/entity/Q45305,"Кит, Борис Владимирович"
http://www.wikidata.org/entity/Q102237172,G. Mustafin
http://www.wikidata.org/entity/Q102237173,A. Roitman